Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10
"(48, 0.2905103197565624)","(491, 0.28520409186830054)","(263, 0.21904894919661924)","(245, 0.20674942749937117)","(491, 0.21347249549581132)","(216, 0.1284889282990169)","(19, 0.21416371398660738)","(263, 0.25198634286921406)","(521, 0.22293558825541732)","(521, 0.2014276405311167)"
"(245, 0.2702080599968571)","(245, 0.2818059094284546)","(521, 0.21572062731390793)","(521, 0.20562797417003667)","(488, 0.17525490042399214)","(491, 0.12605206114786527)","(245, 0.2137648359304555)","(285, 0.23807389941491003)","(548, 0.20576345888527264)","(52, 0.19736825982979292)"
"(521, 0.2687533155686741)","(250, 0.2800051144449873)","(245, 0.21547801381332068)","(233, 0.1956112241645325)","(51, 0.17182052622104055)","(521, 0.11976833260325498)","(534, 0.20855052088751114)","(491, 0.2341339506635998)","(528, 0.20363922084670968)","(497, 0.19117186629212127)"
"(250, 0.26489118630384934)","(521, 0.27103018291898157)","(233, 0.20395985304977865)","(293, 0.19448438349902675)","(524, 0.17105593093040808)","(285, 0.11870442731711327)","(499, 0.20786076018132527)","(521, 0.23030355170453357)","(524, 0.19565920222138772)","(495, 0.18439352524675762)"
"(285, 0.26338081412035735)","(285, 0.2675946746080156)","(247, 0.20300698064210365)","(285, 0.19221625004891904)","(496, 0.1672787249624046)","(25, 0.11720901297227174)","(506, 0.2065548340041008)","(250, 0.21894656301133386)","(497, 0.1945245443234341)","(534, 0.18243429651028717)"
"(491, 0.2575028859024041)","(263, 0.2673602388252738)","(285, 0.20292515817408838)","(271, 0.19158011926432275)","(502, 0.16660523267221042)","(117, 0.1169546905626057)","(18, 0.20642307761850448)","(245, 0.21404215248486405)","(14, 0.1930629303119066)","(496, 0.1815481309032546)"
"(296, 0.2573504968317155)","(296, 0.25562687773895876)","(293, 0.20150793070843623)","(48, 0.1898797851441565)","(495, 0.16651109917308343)","(90, 0.11491904875979558)","(487, 0.2017447056562339)","(271, 0.2104908425030551)","(491, 0.19132721492494928)","(585, 0.18094918353001094)"
"(263, 0.25545546567179944)","(233, 0.25432638861245094)","(98, 0.20042925292964336)","(267, 0.18626856244373016)","(509, 0.1656365666630036)","(240, 0.1147923998949174)","(250, 0.19878193742449135)","(233, 0.20998234755029546)","(529, 0.19098551060571478)","(487, 0.18083720148533147)"
"(233, 0.2513937644117998)","(216, 0.2502628383692456)","(271, 0.19961488204778313)","(674, 0.18621401803258722)","(501, 0.16509666462349412)","(245, 0.11321581073545343)","(521, 0.19870348017904543)","(216, 0.20656839038921446)","(285, 0.18928464038832768)","(506, 0.1803772327235726)"
"(271, 0.24730408929861494)","(253, 0.2487719484629577)","(491, 0.19628716832274196)","(491, 0.18537335066139723)","(519, 0.16286958011770555)","(293, 0.11264842762954864)","(522, 0.1985573002386202)","(296, 0.20626690411367063)","(520, 0.1887443067695383)","(494, 0.17756538140942385)"
"(253, 0.24325560762203546)","(271, 0.2468878076812241)","(267, 0.19277345545724583)","(253, 0.18440143828552885)","(5, 0.15383301650262005)","(305, 0.11121522648939233)","(529, 0.196563713381153)","(208, 0.2043344116584184)","(52, 0.18585387315659693)","(323, 0.1770509113734656)"
"(293, 0.23562692288443965)","(293, 0.2460296107291748)","(253, 0.19143254754877992)","(250, 0.18150338615663747)","(511, 0.15350117037829042)","(503, 0.11073863024021545)","(502, 0.1924297719081655)","(224, 0.20042352925107687)","(142, 0.1855697866903371)","(322, 0.17621806889313588)"
"(216, 0.2296501191375631)","(200, 0.2321502569511489)","(250, 0.19137637166229524)","(192, 0.1810436989578369)","(493, 0.15282765065608217)","(250, 0.11030031555499034)","(524, 0.19143908672204155)","(272, 0.19926193217920504)","(534, 0.1842324966582334)","(623, 0.17028598649870594)"
"(486, 0.22858431971205667)","(267, 0.22995616825712054)","(192, 0.1864211709064057)","(240, 0.17862541377175842)","(543, 0.1521335428133881)","(322, 0.10987337291129365)","(501, 0.19102826915200935)","(200, 0.19470997100993576)","(300, 0.1804875598025893)","(524, 0.16943948238182832)"
"(200, 0.22609863141476416)","(272, 0.2234241397097423)","(240, 0.18532198199838706)","(243, 0.17599393647374412)","(542, 0.15187925231150068)","(233, 0.10944216572268346)","(493, 0.19095638367363463)","(256, 0.1901329008629473)","(533, 0.17983770108140187)","(517, 0.1638616996221557)"
"(267, 0.22383375872390618)","(220, 0.2204100912219763)","(296, 0.1821984985673096)","(300, 0.17485759363283618)","(541, 0.15181926434394877)","(52, 0.10636320506604527)","(523, 0.188545283343605)","(253, 0.18992531419596712)","(493, 0.17763857792757926)","(520, 0.16258716020058991)"
"(240, 0.22078782595952368)","(26, 0.2164095934740073)","(216, 0.18074461973221656)","(247, 0.17432681625245053)","(540, 0.15151080955168258)","(253, 0.10630577634033585)","(491, 0.1876478201774353)","(220, 0.18934792283978227)","(296, 0.1766193185578665)","(47, 0.16205173117096897)"
"(503, 0.20977487434380837)","(486, 0.21452950377529126)","(204, 0.1794079654434361)","(640, 0.17420334438157611)","(539, 0.15138961095695644)","(272, 0.10542834603416622)","(480, 0.18687580120736436)","(293, 0.18664900215435978)","(78, 0.17620485814140743)","(605, 0.16112211376996494)"
"(25, 0.2092782900588653)","(23, 0.21409887755804752)","(243, 0.1783273322833962)","(74, 0.1738779249497544)","(54, 0.15124496749027358)","(224, 0.1051937321754724)","(52, 0.18585387352661056)","(248, 0.18595976918710452)","(502, 0.17615672261780932)","(609, 0.1597468765272922)"
