CAPEC ID,Description,Cosine Similarity,Severity,Prerequisites
324,TCP (ISN) Sequence Predictability Probe,0.0,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
577,Owner Footprinting,0.0,Low,::The adversary must have gained access to the target system via physical or logical means in order to carry out this attack.::Administrator permissions are required to view the home folder of other users.::
413,Pretexting via Tech Support,0.0,Low,
392,Lock Bumping,0.0,,
402,Bypassing ATA Password Security,0.0,,::Access to the system containing the ATA Drive so that the drive can be physically removed from the system.::
410,Information Elicitation,0.0,Low,
389,Content Spoofing Via Application API Manipulation,0.0,Low,::Targeted software is utilizing application framework APIs::
320,TCP Timestamp Probe,0.0,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.The target OS must support the TCP timestamp option in order to obtain a fingerprint.::"
387,Navigation Remapping To Propagate Malicious Content,0.0,Medium,::Targeted software is utilizing application framework APIs::
323,TCP (ISN) Counter Rate Probe,0.0,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
412,Pretexting via Customer Service,0.0,Low,
325,TCP Congestion Control Flag (ECN) Probe,0.0,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
414,Pretexting via Delivery Person,0.0,Low,
531,Hardware Component Substitution,0.0,High,::Physical access to the system or the integration facility where hardware components are kept.::
395,Bypassing Electronic Locks and Access Controls,0.0,,
558,Replace Trusted Executable,0.0,High,
523,Malicious Software Implanted,0.0,High,::Physical access to the system after it has left the manufacturer but before it is deployed at the victim location.::
421,Influence Perception of Authority,0.0,Low,::The adversary must have the means and knowledge of how to communicate with the target in some manner.::
630,TypoSquatting,0.0,Medium,"::An adversary requires knowledge of popular or high traffic domains, that could be used to deceive potential targets.::"
42,MIME Conversion,0.0,High,"::The target system uses a mail server.::Mail server vendor has not released a patch for the MIME conversion routine, the patch itself has a security hole or does not fix the original problem, or the patch has not been applied to the user's system.::"
529,Malware-Directed Internal Reconnaissance,0.0,Medium,"::The adversary must have internal, logical access to the target network and system.::"
420,Influence Perception of Scarcity,0.0,Low,::The adversary must have the means and knowledge of how to communicate with the target in some manner.::
322,TCP (ISN) Greatest Common Divisor Probe,0.0,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
53,"Postfix, Null Terminate, and Backslash",0.0,High,::Null terminators are not properly handled by the filter.::
538,Open Source Libraries Altered,0.0,High,::Access to the open source code base being used by the manufacturer in a system being developed or currently deployed at a victim location.::
