Topic-1,Topic-2,Topic-3,Topic-4,Topic-5
"(324, 0.186632058751163)","(191, 0.11380504110796691)","(90, 0.12942910290304813)","(109, 0.15750431801125858)","(160, 0.13918703187494705)"
"(577, 0.18567536868643386)","(112, 0.09589287433690968)","(97, 0.12170456971927157)","(83, 0.14389376137499288)","(154, 0.13296283156132435)"
"(413, 0.18299740205381887)","(670, 0.08152219685896445)","(77, 0.11875551794966449)","(9, 0.1407690176409837)","(22, 0.11617496004221499)"
"(392, 0.18176352446157498)","(67, 0.0789797748922403)","(9, 0.11391178604047145)","(654, 0.13892716095718435)","(577, 0.11569261925846595)"
"(402, 0.18115075633246155)","(111, 0.07440767688620652)","(670, 0.11330003898081202)","(97, 0.13737343947076563)","(672, 0.11483638588793786)"
"(410, 0.17983056606432685)","(110, 0.06166344986216855)","(112, 0.11182397119185525)","(81, 0.13723380217789258)","(605, 0.11449640310318471)"
"(389, 0.17524734525001298)","(123, 0.06133606366208295)","(644, 0.10752110131662557)","(657, 0.13482834043217778)","(601, 0.11326667184399448)"
"(320, 0.17464955368275867)","(220, 0.06010936799563327)","(111, 0.1072917184626918)","(87, 0.13375915890425943)","(576, 0.11089993803842405)"
"(387, 0.17306963793348226)","(130, 0.05907244615294321)","(81, 0.10619533519907297)","(86, 0.13198336171244862)","(394, 0.11080054068044153)"
"(323, 0.171981539122621)","(672, 0.05897661417514105)","(94, 0.10600411855605339)","(108, 0.12986275140008943)","(393, 0.11004810313928098)"
"(412, 0.16825989033759853)","(674, 0.05735416116712744)","(654, 0.10461100924268867)","(655, 0.12961619109209102)","(655, 0.10376420313026324)"
"(325, 0.16756402495075423)","(187, 0.05605607860487702)","(87, 0.10405821924343751)","(644, 0.12872733152820942)","(674, 0.10347298705450896)"
"(414, 0.16553154733377456)","(227, 0.05577121236420582)","(80, 0.10387785943347908)","(94, 0.12674351312593746)","(36, 0.10229577357085703)"
"(531, 0.16518586442749342)","(671, 0.054989246934776255)","(86, 0.10213968289827101)","(90, 0.12603100915040083)","(560, 0.10150307717837623)"
